file_a,command_a,file_b,command_b,same_phrase,cosine_similarity,euclidean_distance,manhattan_distance,pearson_correlation
delete_1.wav,delete,delete_2.wav,delete,True,0.891624,0.465565,9.948172,0.891624
delete_1.wav,delete,delete_3.wav,delete,True,0.853356,0.541561,11.624912,0.853366
delete_1.wav,delete,delete_4.wav,delete,True,0.934689,0.361415,7.754797,0.934689
delete_1.wav,delete,delete_5.wav,delete,True,0.806843,0.621542,13.004445,0.806841
delete_1.wav,delete,delete_6.wav,delete,True,0.879259,0.491407,10.284008,0.879258
delete_1.wav,delete,next_3.wav,next,False,0.829458,0.584024,12.478575,0.829458
delete_1.wav,delete,next_4.wav,next,False,0.773604,0.672899,14.570570,0.773626
delete_1.wav,delete,next_5.wav,next,False,0.745785,0.713043,15.474473,0.745789
delete_1.wav,delete,next_6.wav,next,False,0.767532,0.681862,14.587870,0.767554
delete_1.wav,delete,next_7.wav,next,False,0.771604,0.675864,14.729427,0.771628
delete_1.wav,delete,next_8.wav,next,False,0.719964,0.748380,16.251278,0.719989
delete_1.wav,delete,previous_1.wav,previous,False,0.736450,0.726017,14.442057,0.736457
delete_1.wav,delete,previous_2.wav,previous,False,0.749409,0.707942,14.969141,0.749406
delete_1.wav,delete,previous_3.wav,previous,False,0.764121,0.686847,14.142284,0.764131
delete_1.wav,delete,previous_4.wav,previous,False,0.783053,0.658707,13.206319,0.783055
delete_1.wav,delete,previous_5.wav,previous,False,0.759838,0.693055,14.691181,0.759833
delete_1.wav,delete,previous_6.wav,previous,False,0.754957,0.700061,14.252161,0.754954
delete_1.wav,delete,save_1.wav,save,False,0.789415,0.648976,13.360019,0.789421
delete_1.wav,delete,save_2.wav,save,False,0.776477,0.668614,13.531616,0.776474
delete_1.wav,delete,save_3.wav,save,False,0.787500,0.651920,13.153614,0.787496
delete_1.wav,delete,save_4.wav,save,False,0.769013,0.679687,13.648744,0.769012
delete_1.wav,delete,save_5.wav,save,False,0.790816,0.646814,13.920616,0.790813
delete_1.wav,delete,save_6.wav,save,False,0.796108,0.638579,13.175846,0.796111
delete_1.wav,delete,stop_1.wav,stop,False,0.724633,0.742115,15.882654,0.724633
delete_1.wav,delete,stop_2.wav,stop,False,0.746389,0.712196,14.852890,0.746400
delete_1.wav,delete,stop_3.wav,stop,False,0.713364,0.757147,14.850479,0.713364
delete_1.wav,delete,stop_4.wav,stop,False,0.709188,0.762643,14.600886,0.709192
delete_1.wav,delete,stop_5.wav,stop,False,0.747045,0.711273,14.577629,0.747045
delete_1.wav,delete,stop_6.wav,stop,False,0.756001,0.698568,14.762772,0.755998
delete_1.wav,delete,submit_1.wav,submit,False,0.795015,0.640289,13.321642,0.795011
delete_1.wav,delete,submit_2.wav,submit,False,0.761867,0.690121,13.797190,0.761863
delete_1.wav,delete,submit_3.wav,submit,False,0.785131,0.655544,13.613822,0.785134
delete_1.wav,delete,submit_4.wav,submit,False,0.774614,0.671396,14.288868,0.774612
delete_1.wav,delete,submit_5.wav,submit,False,0.783671,0.657768,13.830174,0.783675
delete_1.wav,delete,submit_6.wav,submit,False,0.751216,0.705384,14.780598,0.751219
delete_2.wav,delete,delete_3.wav,delete,True,0.888667,0.471875,10.249425,0.888672
delete_2.wav,delete,delete_4.wav,delete,True,0.935415,0.359403,8.010386,0.935418
delete_2.wav,delete,delete_5.wav,delete,True,0.815990,0.606647,12.667953,0.815988
delete_2.wav,delete,delete_6.wav,delete,True,0.897708,0.452309,9.401664,0.897708
delete_2.wav,delete,next_3.wav,next,False,0.836153,0.572445,12.431791,0.836161
delete_2.wav,delete,next_4.wav,next,False,0.786310,0.653743,13.938256,0.786351
delete_2.wav,delete,next_5.wav,next,False,0.781159,0.661575,14.494205,0.781178
delete_2.wav,delete,next_6.wav,next,False,0.784378,0.656691,13.737804,0.784420
delete_2.wav,delete,next_7.wav,next,False,0.756002,0.698568,14.743333,0.756042
delete_2.wav,delete,next_8.wav,next,False,0.724136,0.742785,15.557680,0.724181
delete_2.wav,delete,previous_1.wav,previous,False,0.755507,0.699276,13.843460,0.755529
delete_2.wav,delete,previous_2.wav,previous,False,0.757151,0.696921,14.829211,0.757149
delete_2.wav,delete,previous_3.wav,previous,False,0.789268,0.649203,13.577716,0.789294
delete_2.wav,delete,previous_4.wav,previous,False,0.813322,0.611028,12.387468,0.813335
delete_2.wav,delete,previous_5.wav,previous,False,0.754065,0.701334,14.896101,0.754063
delete_2.wav,delete,previous_6.wav,previous,False,0.728837,0.736428,14.819416,0.728840
delete_2.wav,delete,save_1.wav,save,False,0.767834,0.681419,14.369668,0.767836
delete_2.wav,delete,save_2.wav,save,False,0.785175,0.655476,13.773813,0.785174
delete_2.wav,delete,save_3.wav,save,False,0.847707,0.551892,11.518769,0.847708
delete_2.wav,delete,save_4.wav,save,False,0.788946,0.649698,13.442515,0.788945
delete_2.wav,delete,save_5.wav,save,False,0.808718,0.618518,13.467184,0.808723
delete_2.wav,delete,save_6.wav,save,False,0.832602,0.578616,12.199163,0.832602
delete_2.wav,delete,stop_1.wav,stop,False,0.781880,0.660485,13.984791,0.781894
delete_2.wav,delete,stop_2.wav,stop,False,0.788159,0.650909,13.499895,0.788189
delete_2.wav,delete,stop_3.wav,stop,False,0.719418,0.749108,14.235045,0.719431
delete_2.wav,delete,stop_4.wav,stop,False,0.724873,0.741791,14.180286,0.724892
delete_2.wav,delete,stop_5.wav,stop,False,0.748072,0.709828,14.837780,0.748071
delete_2.wav,delete,stop_6.wav,stop,False,0.861243,0.526795,11.047646,0.861243
delete_2.wav,delete,submit_1.wav,submit,False,0.816047,0.606553,12.558111,0.816047
delete_2.wav,delete,submit_2.wav,submit,False,0.750732,0.706071,13.891159,0.750734
