file_a,command_a,file_b,command_b,same_phrase,cosine_similarity,euclidean_distance,manhattan_distance,pearson_correlation
delete_1.wav,delete,delete_2.wav,delete,True,0.915149,0.411949,8.770292,0.915149
delete_1.wav,delete,delete_3.wav,delete,True,0.914339,0.413910,8.972286,0.914339
delete_1.wav,delete,delete_4.wav,delete,True,0.905566,0.434591,8.777097,0.905567
delete_1.wav,delete,delete_5.wav,delete,True,0.928957,0.376942,8.113765,0.928958
delete_1.wav,delete,next_1.wav,next,False,0.828406,0.585822,12.724361,0.828419
delete_1.wav,delete,next_2.wav,next,False,0.838871,0.567677,12.300194,0.838880
delete_1.wav,delete,next_3.wav,next,False,0.827855,0.586763,12.206931,0.827870
delete_1.wav,delete,next_4.wav,next,False,0.842614,0.561046,11.308712,0.842612
delete_1.wav,delete,next_5.wav,next,False,0.848253,0.550903,11.455193,0.848254
delete_1.wav,delete,previous_1.wav,previous,False,0.774349,0.671790,14.223383,0.774385
delete_1.wav,delete,previous_2.wav,previous,False,0.743197,0.716663,15.293657,0.743212
delete_1.wav,delete,previous_3.wav,previous,False,0.776658,0.668343,13.915339,0.776689
delete_1.wav,delete,previous_4.wav,previous,False,0.785702,0.654672,13.656378,0.785715
delete_1.wav,delete,previous_5.wav,previous,False,0.816571,0.605688,12.755608,0.816575
delete_1.wav,delete,save_1.wav,save,False,0.877670,0.494630,10.012373,0.877675
delete_1.wav,delete,save_2.wav,save,False,0.878442,0.493067,10.148323,0.878441
delete_1.wav,delete,save_3.wav,save,False,0.871697,0.506563,10.334187,0.871696
delete_1.wav,delete,save_4.wav,save,False,0.862181,0.525012,11.450815,0.862185
delete_1.wav,delete,save_5.wav,save,False,0.857621,0.533627,10.704798,0.857625
delete_1.wav,delete,stop_1.wav,stop,False,0.913472,0.416001,9.049210,0.913470
delete_1.wav,delete,stop_2.wav,stop,False,0.872388,0.505197,10.716305,0.872387
delete_1.wav,delete,stop_3.wav,stop,False,0.910920,0.422090,8.627033,0.910920
delete_1.wav,delete,stop_4.wav,stop,False,0.902864,0.440763,9.143717,0.902864
delete_1.wav,delete,stop_5.wav,stop,False,0.851120,0.545674,10.255377,0.851140
delete_1.wav,delete,stop_6.wav,stop,False,0.887207,0.474960,9.792534,0.887205
delete_1.wav,delete,submit_1.wav,submit,False,0.848203,0.550994,11.480271,0.848245
delete_1.wav,delete,submit_2.wav,submit,False,0.870655,0.508616,10.630311,0.870674
