file_a,command_a,file_b,command_b,same_phrase,cosine_similarity,euclidean_distance,manhattan_distance,pearson_correlation
delete_1.wav,delete,delete_2.wav,delete,True,0.940729,0.344300,7.357779,0.940723
delete_1.wav,delete,delete_3.wav,delete,True,0.934890,0.360861,7.642510,0.934883
delete_1.wav,delete,delete_4.wav,delete,True,0.962651,0.273310,5.813154,0.962651
delete_1.wav,delete,delete_5.wav,delete,True,0.957513,0.291504,6.271678,0.957513
delete_1.wav,delete,next_2.wav,next,False,0.797926,0.635726,13.530433,0.797903
delete_1.wav,delete,next_3.wav,next,False,0.787202,0.652376,13.996162,0.787179
delete_1.wav,delete,next_4.wav,next,False,0.780438,0.662664,14.211743,0.780411
delete_1.wav,delete,next_5.wav,next,False,0.799342,0.633496,13.632250,0.799323
delete_1.wav,delete,next_6.wav,next,False,0.797379,0.636586,13.504794,0.797357
delete_1.wav,delete,previous_1.wav,previous,False,0.757300,0.696707,14.803176,0.757271
delete_1.wav,delete,previous_2.wav,previous,False,0.769507,0.678960,14.452503,0.769479
delete_1.wav,delete,previous_3.wav,previous,False,0.774152,0.672083,14.461664,0.774125
delete_1.wav,delete,previous_4.wav,previous,False,0.762450,0.689275,15.040915,0.762421
delete_1.wav,delete,previous_5.wav,previous,False,0.768937,0.679798,14.669281,0.768909
delete_1.wav,delete,save_1.wav,save,False,0.863516,0.522464,10.940217,0.863508
delete_1.wav,delete,save_2.wav,save,False,0.881955,0.485891,10.145029,0.881952
delete_1.wav,delete,save_3.wav,save,False,0.859705,0.529707,11.154014,0.859690
delete_1.wav,delete,save_4.wav,save,False,0.856323,0.536054,11.418963,0.856318
delete_1.wav,delete,save_5.wav,save,False,0.870047,0.509809,10.873203,0.870045
delete_1.wav,delete,stop_1.wav,stop,False,0.896629,0.454690,9.738471,0.896620
delete_1.wav,delete,stop_2.wav,stop,False,0.893793,0.460884,10.015082,0.893783
delete_1.wav,delete,stop_3.wav,stop,False,0.908797,0.427091,9.166067,0.908789
delete_1.wav,delete,stop_4.wav,stop,False,0.910539,0.422991,9.120157,0.910532
delete_1.wav,delete,stop_5.wav,stop,False,0.908748,0.427205,9.114171,0.908749
delete_1.wav,delete,submit_1.wav,submit,False,0.858606,0.531778,10.836761,0.858595
delete_1.wav,delete,submit_2.wav,submit,False,0.861352,0.526589,11.026972,0.861341
delete_1.wav,delete,submit_3.wav,submit,False,0.857064,0.534670,10.944032,0.857052
delete_1.wav,delete,submit_4.wav,submit,False,0.852860,0.542475,11.203018,0.852850
delete_1.wav,delete,submit_5.wav,submit,False,0.860149,0.528869,10.885141,0.860134
delete_2.wav,delete,delete_3.wav,delete,True,0.960003,0.282833,6.115239,0.960000
delete_2.wav,delete,delete_4.wav,delete,True,0.929254,0.376154,7.940839,0.929251
delete_2.wav,delete,delete_5.wav,delete,True,0.936060,0.357605,7.462987,0.936058
delete_2.wav,delete,next_2.wav,next,False,0.814171,0.609638,12.907773,0.814150
delete_2.wav,delete,next_3.wav,next,False,0.800259,0.632046,13.392729,0.800238
delete_2.wav,delete,next_4.wav,next,False,0.817566,0.604042,13.092943,0.817546
delete_2.wav,delete,next_5.wav,next,False,0.811942,0.613282,12.984863,0.811925
delete_2.wav,delete,next_6.wav,next,False,0.798493,0.634834,13.473390,0.798472
delete_2.wav,delete,previous_1.wav,previous,False,0.790418,0.647429,13.823808,0.790397
delete_2.wav,delete,previous_2.wav,previous,False,0.799999,0.632458,13.469551,0.799976
delete_2.wav,delete,previous_3.wav,previous,False,0.810432,0.615741,13.097898,0.810412
delete_2.wav,delete,previous_4.wav,previous,False,0.791211,0.646203,13.968313,0.791186
delete_2.wav,delete,previous_5.wav,previous,False,0.800453,0.631738,13.488644,0.800431
delete_2.wav,delete,save_1.wav,save,False,0.841334,0.563322,11.695179,0.841325
delete_2.wav,delete,save_2.wav,save,False,0.852365,0.543387,11.419111,0.852360
delete_2.wav,delete,save_3.wav,save,False,0.838499,0.568333,12.096607,0.838482
delete_2.wav,delete,save_4.wav,save,False,0.849678,0.548311,11.725967,0.849671
delete_2.wav,delete,save_5.wav,save,False,0.839518,0.566537,11.961226,0.839513
