,cancel,delete,next,none,option1,option2,option3,option4,previous,save,start,stop,submit
cancel,80,0,0,1,0,0,0,0,0,0,0,0,0
delete,0,57,0,0,0,0,0,0,0,0,0,0,0
next,0,1,80,0,0,0,0,0,0,0,0,0,0
none,0,0,0,215,1,7,0,10,0,0,0,0,1
option1,0,0,0,0,81,0,0,0,0,0,0,0,0
option2,0,0,0,0,0,81,0,0,0,0,0,0,0
option3,0,0,0,0,0,0,81,0,0,0,0,0,0
option4,0,0,0,3,1,1,0,76,0,0,0,0,0
previous,0,0,0,0,0,0,0,0,80,0,0,0,1
save,0,0,0,0,0,1,0,0,0,56,0,0,0
start,0,0,0,0,1,0,0,0,0,0,80,0,0
stop,0,0,0,0,0,0,0,1,0,0,1,55,0
submit,0,0,0,0,0,0,0,0,0,0,0,0,57
