,cancel,delete,next,none,option1,option2,option3,option4,previous,save,start,stop,submit
cancel,81,0,0,0,0,0,0,0,0,0,0,0,0
delete,0,57,0,0,0,0,0,0,0,0,0,0,0
next,0,0,80,0,0,0,0,0,0,0,0,1,0
none,0,0,0,220,0,5,0,9,0,0,0,0,0
option1,0,0,0,0,81,0,0,0,0,0,0,0,0
option2,0,0,0,1,0,80,0,0,0,0,0,0,0
option3,0,0,0,0,0,0,81,0,0,0,0,0,0
option4,0,0,0,2,0,2,0,77,0,0,0,0,0
previous,0,0,0,0,0,0,0,0,80,0,0,0,1
save,0,0,0,0,0,1,0,0,0,56,0,0,0
start,0,0,0,0,1,0,0,0,0,0,79,1,0
stop,0,0,0,0,0,0,0,1,0,0,0,56,0
submit,0,0,0,0,0,0,0,0,0,0,0,0,57
