,cancel,delete,next,none,option1,option2,option3,option4,previous,save,start,stop,submit
cancel,80,0,0,1,0,0,0,0,0,0,0,0,0
delete,0,55,0,1,0,0,0,0,0,0,0,0,1
next,0,0,78,0,0,0,0,0,0,1,0,1,1
none,0,0,0,206,1,12,0,14,1,0,0,0,0
option1,0,0,0,0,81,0,0,0,0,0,0,0,0
option2,2,0,0,0,0,79,0,0,0,0,0,0,0
option3,0,0,0,0,0,0,80,0,0,0,0,1,0
option4,0,0,0,0,0,0,0,79,0,0,0,2,0
previous,0,0,0,0,0,0,0,0,80,0,0,0,1
save,0,0,0,0,0,1,0,0,0,56,0,0,0
start,0,0,0,0,0,0,0,0,0,0,81,0,0
stop,0,0,0,0,0,0,0,1,0,0,0,56,0
submit,0,0,0,0,0,0,0,0,0,0,0,1,56
